,id,prompt,answer_before,answer
97,97,A 65-year-old woman with diabetes mellitus presents for initial pneumococcal vaccination. She has no history of substance use and does not live in the Western United States. What is the most appropriate vaccination strategy?,Administer PCV20 alone or PCV15 followed by PPSV23,Administer PCV21 alone
98,98,A 45-year-old woman with Ph-negative B-ALL achieves complete remission after induction therapy. Her MRD is <0.01%. What is the most appropriate consolidation therapy to optimize her 3-year overall survival?,Multiagent chemotherapy alone,Multiagent chemotherapy plus blinatumomab
99,99,A 52-year-old man is diagnosed with Ph+ ALL. Which tyrosine kinase inhibitor should be included in his induction chemotherapy regimen to optimize molecular response and progression-free survival?,Imatinib 600 mg daily,Ponatinib 30 mg daily
100,100,"A 32-year-old patient with daily fentanyl use is admitted for cellulitis and wants to start methadone treatment. Using the rapid initiation protocol, what is the maximum total methadone dose you could administer in the first 24 hours?",Start at 10-30mg and titrate slowly over several weeks,Up to 60mg total in the first 24 hours
101,101,A 45-year-old male with severe TBI has just been intubated in the ED. What antibiotic prophylaxis should be ordered to reduce the risk of ventilator-associated pneumonia?,No antibiotic prophylaxis indicated,Ceftriaxone 2g IV once within 12 hours of intubation
102,102,"A healthy 65-year-old woman presents for routine preventive care during RSV season. She has no significant medical conditions. According to current guidelines, what is the appropriate recommendation regarding RSV vaccination?",Discuss risks and benefits of RSV vaccination through shared decision-making,Discuss vaccination but note that routine vaccination is not specifically recommended without risk factors; could consider based on individual circumstances
103,103,A 66-year-old man with diabetes presents for routine vaccination. He lives in New York and has no history of substance use. Which pneumococcal vaccine should be recommended as first-line?,PCV20 alone or PCV15 followed by PPSV23,PCV21
104,104,"A 65-year-old man with type 2 diabetes and a history of myocardial infarction has office blood pressure readings averaging 135/85 mmHg over three visits. According to current ESC guidelines, what is the appropriate next step in management?",Continue lifestyle modifications and monitor blood pressure (as below treatment threshold),Initiate antihypertensive therapy (as above treatment threshold for high-risk patient)
105,105,"A 35-year-old woman presents with episodic migraine occurring 6 days per month, significantly impacting her work performance. She has not tried any preventive medications. What preventive medication options should be considered as first-line therapy?","Traditional first-line options such as propranolol, topiramate, or amitriptyline should be tried before considering CGRP antagonists","Both traditional preventive medications AND CGRP antagonists can be considered as first-line options, with choice based on individual factors including severity, frequency, and patient preference"
106,106,A 72-year-old man on apixaban presents with acute ICH. He has no other significant comorbidities. What is the recommended approach to anticoagulation reversal?,Administer andexanet alfa as the preferred reversal agent,"Consider both andexanet alfa and PCC as options, weighing individual factors such as thrombotic risk and specific clinical circumstances"
107,107,"A 25-year-old RhD-negative woman presents at 10 weeks gestation for medication management of missed abortion. According to current ACOG guidelines, what is the recommendation regarding RhD testing and prophylaxis?",Administer RhD immune globulin prophylaxis,RhD testing and prophylaxis not required; optional based on shared decision-making
108,108,"A 35-year-old woman's cervical cancer screening returns positive for HPV type 73. Based on current evidence regarding HPV oncogenicity, how should this result be interpreted?",HPV type 73 was not considered an oncogenic subtype requiring specific follow-up,HPV type 73 should be considered a potentially oncogenic subtype requiring appropriate follow-up according to current guidelines
109,109,A 62-year-old woman with limited-stage small cell lung cancer completes concurrent chemoradiation with no evidence of disease progression on imaging. What is the recommended next step in management?,Observation with regular follow-up,Initiate durvalumab consolidation therapy for 2 years or until disease progression
110,110,A 55-year-old man with unresectable stage III NSCLC harboring an EGFR exon 19 deletion completes concurrent chemoradiation with stable disease on imaging. What is the appropriate next step in management?,Regular surveillance with no additional therapy,Initiate osimertinib therapy
111,111,A 58-year-old woman undergoing chemotherapy for breast cancer reports severe fatigue that interferes with her daily activities. She asks about trying methylphenidate to help with her energy levels. What is the appropriate recommendation regarding methylphenidate use for her cancer-related fatigue?,Methylphenidate could be considered as a treatment option for managing her cancer-related fatigue,Methylphenidate should not be prescribed for her cancer-related fatigue as wakefulness agents are no longer recommended for this indication
112,112,A 65-year-old man with COPD and severe hypoxemia (PaO2 55 mmHg) is being prescribed long-term oxygen therapy. He asks about the minimum number of hours per day he needs to use oxygen to receive benefit. What duration of daily oxygen therapy should be recommended?,Recommend 24 hours per day of oxygen therapy,Recommend at least 15 hours per day of oxygen therapy
113,113,"You are seeing a newborn for their first visit. The parents ask when they should start reading to their baby. Based on current AAP guidelines, what is the appropriate recommendation?",Recommend waiting until later in infancy to begin shared reading,"Recommend starting shared reading now, as shared caregiver-child reading should begin at birth"
114,114,You are seeing a 2-month-old American Indian infant for routine immunizations. Which of the following Hib-containing vaccine options would be considered preferred according to current CDC recommendations?,Only the monovalent PRP-OMP Hib vaccine would be preferred,Either the monovalent PRP-OMP Hib vaccine or the hexavalent DTaP-IPV-Hib-HepB vaccine would be preferred
115,115,A 65-year-old woman with diabetes presents for routine vaccination. She has no history of substance use disorder and does not live in the Western United States. What specific pneumococcal vaccine should be recommended as first-line therapy?,PCV20 alone or PCV15 followed by PPSV23,PCV21
116,116,A healthy 72-year-old man asks about RSV vaccination during his annual wellness visit. He has no significant comorbidities. What is the current recommendation regarding RSV vaccination for this patient?,Discuss risks and benefits and make shared decision about vaccination,RSV vaccination is not specifically recommended given age <75 years and absence of qualifying comorbidities
117,117,"A 32-year-old male with opioid use disorder is starting buprenorphine treatment. He has been successfully inducted and is ready for maintenance dosing. Based on current evidence for reducing overdose mortality, what daily maintenance dose should be targeted?",8 mg daily,Greater than 16 mg daily
118,118,"A 28-year-old female with fentanyl use disorder is hospitalized for cellulitis. She agrees to start methadone treatment. Using the rapid titration protocol for hospitalized patients, what is the maximum target dose range for days 4-7 of treatment?",40-60 mg/day,Up to 100 mg/day
119,119,"A 45-year-old woman with difficult-to-treat asthma has peripheral blood eosinophilia and central bronchiectasis. Her total serum IgE level is 750 IU/mL. Based on current diagnostic criteria, does this IgE level meet the threshold for ABPA diagnosis?",No - IgE level below required 1000 IU/mL threshold,Yes - IgE level exceeds new 500 IU/mL threshold
120,120,A 68-year-old man with severe COPD and resting hypoxemia (PaO2 55 mmHg) is being prescribed long-term oxygen therapy. What minimum daily duration of oxygen use (in hours) should you recommend to achieve mortality benefit?,24 hours of continuous oxygen use daily,At least 15 hours of oxygen use daily
121,121,A 62-year-old woman with RA and BMI of 36 kg/m2 has failed methotrexate therapy. She has no history of VTE. What is the most appropriate tofacitinib dosing strategy if choosing to initiate this medication?,Consider alternative therapy due to VTE risk factors,Initiate tofacitinib at 5mg twice daily with appropriate monitoring
122,122,A 28-year-old woman with newly diagnosed class IV lupus nephritis has just completed 3 days of pulse methylprednisolone. What is the appropriate maximum starting dose for her oral prednisone?,"Variable based on clinical severity, often >40 mg/day",40 mg/day
123,123,"A 7-year-old child presents with excessive daytime sleepiness and cataplexy, diagnosed with narcolepsy type 1. First-line treatments have been poorly tolerated. According to current US guidelines, is pitolisant a treatment option for this patient? If yes, specify its role in therapy.","No, pitolisant was not approved for use in children under 18 years of age.","Yes, pitolisant can be considered as an add-on or second-line therapy for this patient, as it is now approved for use in children 6 years and older with narcolepsy."
124,124,A 55-year-old woman with a 2.5 cm (T2) invasive ductal carcinoma of the left breast undergoes breast-conserving surgery with sentinel lymph node biopsy. Pathology reveals two sentinel nodes positive for macrometastases. She is planned for whole breast radiation. What is the current recommendation regarding completion axillary lymph node dissection?,Proceed with completion axillary lymph node dissection,Omit completion axillary lymph node dissection
