,id,update_reference_snippet,updated_fact_description,prompt,answer_before,answer
62,62,"For patients with moderate-to-severe traumatic brain injury who require mechanical ventilation, we recommend a single dose of ceftriaxone (2 g intravenously) within 12 hours of intubation (Grade 1B).","Previously: No routine antibiotic prophylaxis was recommended for VAP prevention in ventilated TBI patients.
Now: A single dose of ceftriaxone 2g IV is recommended within 12 hours of intubation for VAP prevention in ventilated moderate-to-severe TBI patients.",What is the current recommended prophylactic antibiotic regimen for preventing ventilator-associated pneumonia in newly intubated moderate-to-severe TBI patients?,No routine antibiotic prophylaxis was recommended,Single dose of ceftriaxone 2g IV within 12 hours of intubation
63,63,"For patients with body mass index (BMI) ≤30 kg/m2 undergoing continuous closure of a midline laparotomy incision, we recommend a 5 mm suture width and interval rather than the conventional technique of 10 mm suture width and interval (Grade 1B).","Previously: Midline laparotomy incisions were closed using a large bite technique with 10 mm suture width and interval. Now: For patients with BMI ≤30 kg/m2, closure should use a small bite technique with 5 mm suture width and interval.",What is the currently recommended suture width and interval (in mm) for continuous closure of midline laparotomy incisions in patients with BMI ≤30 kg/m2?,10 mm width and interval,5 mm width and interval
64,64,"For patients with stage IB1 cervical cancer with limited stromal invasion (ie, <10 mm on excisional specimen or <50 percent depth on MRI), we suggest simple hysterectomy plus lymphadenectomy rather than modified or radical hysterectomy (Grade 2C).",Previously: Stage IB1 cervical cancer was traditionally treated with radical hysterectomy regardless of stromal invasion depth. Now: Simple hysterectomy plus lymphadenectomy is recommended for stage IB1 cervical cancer when stromal invasion is limited (<10 mm on excisional specimen or <50 percent depth on MRI).,What is the currently recommended surgical approach for stage IB1 cervical cancer with stromal invasion less than 10 mm on excisional specimen?,Radical hysterectomy,Simple hysterectomy plus lymphadenectomy
65,65,"Previously, the Centers for Disease Control and Prevention endorsed shared clinical decision-making around RSV vaccination for adults ≥60 years of age. We now suggest RSV vaccination in all adults ≥75 years of age and those ≥60 years of age with comorbidities that put them at increased risk for severe disease.",Previously: RSV vaccination was based on shared decision-making for all adults ≥60 years of age. Now: RSV vaccination is specifically recommended for all adults ≥75 years and those ≥60 years with risk-increasing comorbidities (Grade 2B).,What is the current age threshold for routine RSV vaccination recommendation in adults without comorbidities?,≥60 years (with shared decision-making),≥75 years
66,66,"In the United States, several respiratory syncytial virus (RSV) vaccines are approved for use in persons ≥60 years of age; the adjuvanted glycoprotein vaccine (Arexvy [brand name]) is also approved for persons aged 50 to 59 years at high risk for RSV-associated lower respiratory tract disease.",Previously: RSV vaccines were only approved for adults ≥60 years. Now: Arexvy is also approved for high-risk persons aged 50-59 years.,What is the minimum age for which Arexvy (RSV vaccine) is currently approved in high-risk patients?,60 years,50 years
67,67,"For men who have sex with men and transgender women who have a history of bacterial sexually transmitted infection (STI) in the prior 12 months or whose planned sexual activity increases exposure to STIs (eg, multiple or anonymous sex partners), we suggest doxycycline post-exposure prophylaxis to reduce the risk of chlamydia, gonorrhea, and syphilis (Grade 2B).",Previously: No routine post-exposure prophylaxis was recommended for STI prevention in MSM and transgender women. Now: Doxycycline post-exposure prophylaxis (200 mg within 72 hours of condomless sex) is recommended for MSM and transgender women with recent STI history or increased risk factors.,What is the current recommended dose and timing of doxycycline post-exposure prophylaxis for STI prevention in high-risk individuals?,No routine post-exposure prophylaxis was recommended,200 mg doxycycline within 72 hours of condomless sexual exposure
68,68,"For patients with unresectable, limited-stage small cell lung cancer who have not experienced progression after concurrent chemoradiation, we recommend consolidation with durvalumab (Grade 1B).","Previously: No consolidation therapy was standard after concurrent chemoradiation for limited-stage SCLC.
Now: Consolidation with durvalumab for two years or until progression is recommended (Grade 1B) for patients who have not progressed after concurrent chemoradiation.",What is the current recommended consolidation therapy for patients with unresectable limited-stage SCLC who have not progressed after concurrent chemoradiation (include recommendation grade)?,No standard consolidation therapy was recommended,Durvalumab for two years or until progression (Grade 1B recommendation)
69,69,"In a randomized trial including 730 patients with inoperable stage I through III LS-SCLC who had not experienced progression after concurrent chemoradiation, two years of the immune checkpoint inhibitor durvalumab improved median overall survival compared with placebo (56 versus 33 months)","Previously: Median overall survival data for consolidation therapy in LS-SCLC was not established.
Now: Durvalumab consolidation therapy shows median overall survival of 56 months compared to 33 months with placebo.",What is the median overall survival benefit (in months) with durvalumab consolidation therapy compared to placebo in limited-stage SCLC patients who have not progressed after concurrent chemoradiation?,Not established,56 months with durvalumab versus 33 months with placebo (23-month improvement)
70,70,"For direct factor Xa inhibitor-associated intracerebral hemorrhage, we suggest either andexanet alfa or 4-factor prothrombin complex concentrate (PCC) based on the severity of hemorrhage, local protocols, and availability (Grade 2C)... previously, we favored andexanet in most cases.","Previously: Andexanet alfa was favored in most cases of factor Xa inhibitor-associated ICH. Now: Either andexanet alfa or 4-factor PCC is suggested, with selection based on hemorrhage severity, local protocols, and availability (Grade 2C).",What are the current recommended first-line reversal options for direct factor Xa inhibitor-associated intracerebral hemorrhage?,Andexanet alfa was the preferred option in most cases,"Either andexanet alfa or 4-factor PCC, with selection individualized based on hemorrhage severity, local protocols, and availability"
71,71,"In 2024, the US Food and Drug Administration approved a beta-lactam antibiotic, pivmecillinam, for treatment of acute simple cystitis in female adults","Previously: Pivmecillinam was not FDA-approved for use in the United States for acute simple cystitis. Now: As of 2024, pivmecillinam is FDA-approved for treatment of acute simple cystitis in adult females.",What is the current FDA approval status of pivmecillinam for acute simple cystitis in adult females in the United States?,Not FDA-approved,FDA-approved as of 2024
72,72,"For empiric therapy, we would generally use 185 mg pivmecillinam base (equivalent to 200 mg pivmecillinam hydrochloride) orally three times daily for three to seven days, which is the dose recommended in the United States.",Previously: No established US dosing recommendation existed. Now: The recommended dose is 185 mg pivmecillinam base (200 mg pivmecillinam hydrochloride) orally three times daily for 3-7 days.,What is the current recommended dosing regimen for pivmecillinam in the treatment of acute simple cystitis in the United States?,No established US dosing recommendation,185 mg pivmecillinam base (200 mg pivmecillinam hydrochloride) orally three times daily for 3-7 days
73,73,"Total serum immunoglobulin (Ig) E levels of ≥500 international units/mL are sufficient for the diagnosis, rather than the previously higher threshold of 1000 international units/mL.","Previously, the diagnostic threshold for total serum IgE in ABPA was ≥1000 IU/mL. Now, according to 2024 ISHAM criteria, the diagnostic threshold is ≥500 IU/mL.",What is the current minimum diagnostic threshold for total serum IgE (in IU/mL) for ABPA according to 2024 ISHAM criteria?,≥1000 IU/mL,≥500 IU/mL
74,74,Elevated Aspergillus IgG levels by enzyme immunoassay or lateral flow assay are more sensitive for detecting sensitivity to Aspergillus antigens and should be used preferentially over Aspergillus serum precipitins.,"Previously, Aspergillus serum precipitins were used to detect sensitivity to Aspergillus antigens. Now, according to 2024 ISHAM criteria, Aspergillus IgG levels by enzyme immunoassay or lateral flow assay are the preferred testing method due to higher sensitivity.",What is the current preferred testing method for detecting sensitivity to Aspergillus antigens according to 2024 ISHAM criteria?,Aspergillus serum precipitins,Aspergillus IgG levels by enzyme immunoassay or lateral flow assay
75,75,"In March 2024 in the United States, the novel monoclonal antibody pemivibart received emergency use authorization to prevent COVID-19 in individuals age 12 years or older (weighing at least 40 kg) who have moderate-to-severe immunocompromising conditions",Previously: No specific monoclonal antibody was authorized for pre-exposure prophylaxis in immunocompromised patients against current variants. Now: Pemivibart is authorized for pre-exposure prophylaxis in eligible immunocompromised patients age ≥12 years and weight ≥40 kg.,What are the current minimum age and weight requirements for pemivibart use in pre-exposure prophylaxis of COVID-19?,Not applicable (medication not previously authorized),Age ≥12 years and weight ≥40 kg
76,76,"For individuals who are overweight or obese in whom pharmacologic therapy is indicated, we suggest subcutaneous tirzepatide or semaglutide rather than other agents (Grade 2C).",Previously: Other weight loss medications were the primary pharmacologic options for obesity management. Now: Tirzepatide and semaglutide are suggested as preferred agents over other medications for weight management in eligible patients.,What are the currently recommended first-line pharmacologic agents for chronic weight management in eligible overweight or obese adults?,Various weight loss medications without specific preference hierarchy,Tirzepatide or semaglutide are suggested as preferred agents
77,77,Two randomized trials in adults with obesity demonstrated mean losses of 15 to 21 percent body weight with the highest dose of tirzepatide (15 mg weekly),Previously: This level of weight loss was not consistently achievable with existing medications. Now: Tirzepatide at 15 mg weekly demonstrates mean weight loss of 15-21 percent of body weight.,What is the expected range of mean body weight loss percentage with tirzepatide 15 mg weekly in adults with obesity?,Not applicable (medication not previously available),15-21 percent body weight loss
78,78,"For hemodynamically unstable, brain-dead organ donors, we suggest against the use of thyroid hormone (Grade 2C). Thyroid hormone supplementation has little to no effect on organ procurement or graft outcomes, but it increases the rates of hypertension and tachycardia in deceased donors.","Previously: Thyroid hormone administration was a standard component of organ procurement protocols for brain-dead donors. Now: Thyroid hormone administration is not recommended (Grade 2C) for hemodynamically unstable, brain-dead organ donors due to lack of benefit and increased adverse effects.","What is the current recommendation regarding thyroid hormone administration in hemodynamically unstable, brain-dead organ donors, and what is its grade of evidence?",Thyroid hormone administration was recommended as part of standard organ procurement protocols,Thyroid hormone administration is not recommended (Grade 2C recommendation against use)
79,79,"Total serum immunoglobulin (Ig) E levels of ≥500 international units/mL are sufficient for the diagnosis, rather than the previously higher threshold of 1000 international units/mL.","Previously, the diagnostic threshold for total serum IgE in ABPA was ≥1000 IU/mL. Now, the threshold has been lowered to ≥500 IU/mL.",What is the current minimum total serum IgE level (in IU/mL) required for diagnosing allergic bronchopulmonary aspergillosis (ABPA)?,≥1000 IU/mL,≥500 IU/mL
80,80,Elevated Aspergillus IgG levels by enzyme immunoassay or lateral flow assay are more sensitive for detecting sensitivity to Aspergillus antigens and should be used preferentially over Aspergillus serum precipitins.,"Previously, Aspergillus serum precipitins were used to detect Aspergillus sensitivity. Now, Aspergillus IgG levels by enzyme immunoassay or lateral flow assay are the preferred diagnostic test.",What is the current preferred laboratory test for detecting Aspergillus sensitivity in the diagnosis of ABPA?,Aspergillus serum precipitins,Aspergillus IgG levels by enzyme immunoassay or lateral flow assay
81,81,"VAL with the hyperangulated D-blade resulted in increased percentage of glottic opening visible (89 versus 54 percent), increased first-attempt intubation success (97 versus 67 percent), and a lower rate of failed intubation (1 versus 13 percent) compared with the standard blade.",Previously: Standard Macintosh-style videolaryngoscope blades were commonly used for difficult airways. Now: Hyperangulated blades are preferred for difficult airways due to superior first-attempt success rates (97% vs 67%) and lower failure rates (1% vs 13%).,What is the current first-attempt success rate for tracheal intubation using a hyperangulated videolaryngoscope blade in predicted difficult airways?,67% with standard Macintosh-style blade,97% with hyperangulated blade
82,82,"In a 2024 systematic review of randomized trials including a total of nearly 1700 kidney transplant patients, administration of balanced crystalloid solutions resulted in a lower incidence of delayed graft function compared with normal saline (25 versus 34 percent) and better preservation of acid-base and electrolyte balance",Previously: Normal saline was commonly used for kidney transplant fluid administration. Now: Balanced crystalloid solutions are preferred due to lower delayed graft function rates (25% vs 34%) and better acid-base balance.,What is the currently recommended type of intravenous fluid for administration during kidney transplantation?,Normal saline,Balanced crystalloid solution
83,83,"In patients receiving optimal therapy with a diuretic and a sodium-glucose co-transporter 2 inhibitor with or without semaglutide and who have persistent New York Heart Association class II to III HF symptoms, we now suggest adding an MRA",Previously: MRAs were not routinely recommended for HFpEF patients. Now: MRAs are suggested for HFpEF patients with persistent NYHA class II-III symptoms despite optimal therapy with a diuretic and SGLT2 inhibitor.,"In patients with HFpEF who have persistent NYHA class II-III symptoms despite treatment with a diuretic and SGLT2 inhibitor, what is the current recommended next medication class to add to therapy?",No specific recommendation for additional therapy,Mineralocorticoid receptor antagonist (MRA)
84,84,"For patients with stable ASCVD who require anticoagulation for a concurrent condition, we do not routinely add aspirin.",Previously: Aspirin was often added to anticoagulation in patients with stable ASCVD. Now: Aspirin is not routinely recommended in addition to anticoagulation for patients with stable ASCVD.,"In patients with stable ASCVD who require anticoagulation for a concurrent condition, what is the current recommendation regarding aspirin therapy?",Add aspirin to anticoagulation,Do not routinely add aspirin to anticoagulation
85,85,A Delphi consensus from the National Psoriasis Foundation supports continuing treatment without interruption for most systemic psoriasis drugs (excluding methotrexate) for patients receiving nonlive vaccines. Additional guidance included the preferred administration of live vaccines prior to starting systemic psoriasis drugs and the need to interrupt treatment with most of these drugs (excluding apremilast and acitretin) for patients receiving a live vaccine.,Previously: No clear consensus on vaccination timing during systemic psoriasis therapy. Now: Continue most systemic therapies (except methotrexate) during non-live vaccines; interrupt most therapies (except apremilast and acitretin) for live vaccines.,Which systemic psoriasis medications must be interrupted when administering live vaccines?,Variable practice without clear consensus,All systemic psoriasis medications except apremilast and acitretin
86,86,"The few available randomized trials concluded that parenteral antihistamines are the most effective intervention. The benefit of adding glucocorticoids was unclear, although this is common practice in urgent care and emergency settings.",Previously: Common practice to routinely add glucocorticoids for acute urticaria in urgent care settings. Now: Glucocorticoid use should be limited to specific situations such as prominent angioedema or persistent symptoms despite antihistamine use.,What is the first-line treatment recommendation for acute urticaria?,Antihistamines plus glucocorticoids,Nonsedating second-generation antihistamines alone
87,87,"In June 2024, the Advisory Committee on Immunization Practices updated their recommendations for RSV vaccination to focus on persons at highest risk for severe disease (those ≥75 years of age and those 60 to 74 years of age with selected comorbid conditions)",Previously: RSV vaccination was recommended based on shared clinical decision-making for all adults ≥60 years of age. Now: RSV vaccination is specifically recommended for adults ≥75 years and those 60-74 years with selected comorbidities.,What is the current age threshold for routine RSV vaccination recommendation in adults without comorbidities?,60 years,75 years
88,88,"Since PCV21 contains eleven serotypes that are common causes of invasive pneumococcal disease in adults that are absent from PCV20, we now suggest PCV21 for most adults with indications for pneumococcal vaccination",Previously: PCV20 alone or PCV15 followed by PPSV23 were the preferred options for pneumococcal vaccination. Now: PCV21 is the preferred option for most adults except those at risk for serotype 4 infection.,What is the currently preferred pneumococcal vaccine for most adults requiring vaccination who are not at increased risk for serotype 4 infection?,PCV20 or PCV15 followed by PPSV23,PCV21
89,89,"In a trial of 182 adult patients with predicted difficult tracheal intubation undergoing elective surgery, VAL with the hyperangulated D-blade resulted in increased percentage of glottic opening visible (89 versus 54 percent), increased first-attempt intubation success (97 versus 67 percent), and a lower rate of failed intubation (1 versus 13 percent) compared with the standard blade.",Previously: No clear preference between standard Macintosh-style and hyperangulated blades for difficult airways. Now: Hyperangulated blades are preferentially recommended for video-assisted laryngoscopy in patients with difficult airways.,What type of videolaryngoscope blade is currently recommended as first-line for patients with predicted difficult airways?,Either standard Macintosh-style or hyperangulated blade based on provider preference,Hyperangulated blade
90,90,"Based on these data, we now suggest against use of preprocedural oxygenation for children undergoing procedural sedation.",Previously: Variable use of preoxygenation before pediatric procedural sedation was accepted practice. Now: Preoxygenation is specifically recommended against for pediatric procedural sedation.,What is the current recommendation regarding preoxygenation before pediatric procedural sedation?,Preoxygenation could be used based on provider preference,Preoxygenation is not recommended
91,91,"Extended-interval intravitreal aflibercept dosing for diabetic macular edema... participants were randomly assigned to one of the following regimens after completing initial monthly dosing: 2 mg every 8 weeks (standard dosing), 8 mg every 12 weeks, or 8 mg every 16 weeks",Previously: Aflibercept was administered as 2 mg every 8 weeks for diabetic macular edema. Now: Higher doses (8 mg) can be administered at extended intervals of 12 or 16 weeks with similar efficacy.,What is the current maximum recommended interval between aflibercept doses for maintenance therapy of diabetic macular edema?,8 weeks,16 weeks (using 8 mg dose)
92,92,"New consensus guidelines for the management of diabetic ketoacidosis (DKA) and hyperosmolar hyperglycemic state (HHS) in adults... highlight normoglycemic DKA, in which glucose may be normal or only mildly elevated (<200 mg/dL [11.1 mmol/L])","Previously: DKA was primarily diagnosed based on elevated blood glucose levels. Now: DKA can be diagnosed even with normal or mildly elevated glucose (<200 mg/dL), particularly in patients on SGLT2 inhibitors.",What is the minimum blood glucose level required to diagnose DKA in a patient taking an SGLT2 inhibitor?,Blood glucose had to be significantly elevated (typically >250 mg/dL),No minimum glucose requirement; can be diagnosed with normal or mildly elevated glucose (<200 mg/dL)
93,93,"In a cohort study of nearly 50,000 patients starting transmucosal buprenorphine for OUD, higher average daily doses during the first 30 days were associated with lower rates of opioid-related overdose mortality over the first year of treatment. Specifically, buprenorphine doses of 8 to 16 mg/day and >16 mg/day were associated with 55 and 64 percent reductions in overdose deaths, compared with ≤8 mg/day.",Previously: Initial buprenorphine maintenance dosing was commonly ≤8 mg/day. Now: Higher initial maintenance doses (8-16 mg/day or >16 mg/day) are recommended to reduce overdose mortality.,What is the currently recommended minimum daily maintenance dose of buprenorphine to achieve optimal reduction in overdose mortality during the first 30 days of treatment for opioid use disorder?,≤8 mg/day,8-16 mg/day
94,94,"For pneumococcal vaccination in the United States, pneumococcal conjugate vaccine 20 (PCV20) alone or PCV15 followed by pneumococcal polysaccharide vaccine 23 (PPSV23) have been the preferred options. In 2024, the Advisory Committee on Immunization Practices (ACIP) updated guidance on pneumococcal vaccination to include pneumococcal conjugate vaccine 21 (PCV21) alone as an additional option.",Previously: PCV20 alone or PCV15 followed by PPSV23 were the preferred options. Now: PCV21 alone is added as a preferred option for most adults.,What are the current recommended options for pneumococcal vaccination in adults?,PCV20 alone or PCV15 followed by PPSV23,"PCV21 alone, PCV20 alone, or PCV15 followed by PPSV23"
95,95,Recent data in critically ill patients have suggested that protein intake >1.5 g/kg/day in enteral feeds is not as beneficial as originally thought. A recent randomized trial of 935 mechanically ventilated adults reported similar rates of mortality and acute kidney injury when protein intake of 2.0 g/kg/day was compared with 1.3 g/kg/day. These findings were in keeping with recent data suggesting that protein intake in the 1 to 1.5g/kg/day range is sufficient for most critically ill patients.,Previously: Protein intake >1.5 g/kg/day was recommended for critically ill patients. Now: Protein intake of 1.0-1.5 g/kg/day is considered sufficient for most critically ill patients.,What is the currently recommended daily protein intake range (in g/kg/day) for most critically ill adult patients receiving nutrition support?,>1.5 g/kg/day,1.0-1.5 g/kg/day
96,96,"In June 2024, the Advisory Committee on Immunization Practices updated their recommendations for RSV vaccination to focus on persons at highest risk for severe disease (those ≥75 years of age and those 60 to 74 years of age with selected comorbid conditions)",Previously: RSV vaccination was recommended based on shared clinical decision-making for all adults ≥60 years of age. Now: RSV vaccination is specifically recommended for all adults ≥75 years and those 60-74 years with selected comorbidities.,What is the current age threshold for routine RSV vaccination recommendation in adults without comorbidities?,≥60 years with shared decision-making,≥75 years
97,97,"Since PCV21 contains eleven serotypes that are common causes of invasive pneumococcal disease in adults that are absent from PCV20, we now suggest PCV21 for most adults with indications for pneumococcal vaccination","Previously: PCV20 alone or PCV15 followed by PPSV23 were the preferred options. Now: PCV21 alone is the preferred option for most adults, except those at risk for serotype 4 infection.",What is the current first-line pneumococcal vaccine recommendation for most adults requiring vaccination?,PCV20 alone or PCV15 followed by PPSV23,PCV21 alone
98,98,"In a trial of 224 adults with de novo Ph-negative ALL in CR and measurable residual disease (MRD) <0.01 percent, multiagent chemotherapy followed by blinatumomab achieved superior three-year overall survival compared with chemotherapy alone (85 versus 68 percent)",Previously: Standard-risk Ph-negative ALL in CR was treated with chemotherapy alone for consolidation. Now: Blinatumomab-containing chemoimmunotherapy is recommended for consolidation.,What is the current recommended consolidation therapy for standard-risk Ph-negative ALL patients in complete remission?,Chemotherapy alone,Blinatumomab-containing chemoimmunotherapy
99,99,"In a randomized trial, ponatinib 30 mg daily plus reduced-intensity chemotherapy achieved more complete molecular responses and longer progression-free survival than the same chemotherapy combined with imatinib 600 mg daily",Previously: Imatinib was commonly used with chemotherapy for Ph+ ALL induction. Now: Ponatinib or second-generation TKIs are preferred over imatinib for induction therapy.,What is the current recommended tyrosine kinase inhibitor for induction therapy in Ph+ ALL?,Imatinib 600 mg daily,Ponatinib 30 mg daily or a second-generation TKI
100,100,"In a retrospective study, 25 individuals with OUD (including routine fentanyl use) who were hospitalized for other medical reasons successfully underwent rapid methadone initiation, with average daily doses up to 60 mg on day 1 and up to 100 mg on days 4 to 7",Previously: Traditional methadone initiation required weeks of slow titration. Now: Rapid titration protocol allows up to 60mg on day 1 and up to 100mg by days 4-7 in hospitalized patients.,What is the maximum recommended first-day methadone dose for rapid initiation protocol in hospitalized patients with OUD?,10-30mg first day with slow titration over weeks,Up to 60mg on day 1
101,101,"In a randomized trial of patients with moderate or severe TBI or acute stroke, those assigned to ceftriaxone 2 g intravenously (IV) within 12 hours of intubation had lower rates of VAP within seven days compared with those who received placebo (14 versus 32 percent)",Previously: No routine antibiotic prophylaxis for ventilated TBI patients. Now: Single dose of ceftriaxone 2g IV within 12 hours of intubation recommended to prevent VAP.,What is the current recommended prophylactic antibiotic dosing for ventilated TBI patients to prevent VAP?,No routine antibiotic prophylaxis recommended,Ceftriaxone 2g IV once within 12 hours of intubation
102,102,"In June 2024, the Advisory Committee on Immunization Practices updated their recommendations for RSV vaccination to focus on persons at highest risk for severe disease (those ≥75 years of age and those 60 to 74 years of age with selected comorbid conditions)",Previously: Shared clinical decision-making was recommended for all adults ≥60 years of age. Now: RSV vaccination is specifically recommended for all adults ≥75 years and those 60-74 years with selected comorbidities.,What is the current age threshold for routine RSV vaccination recommendation in adults without comorbidities?,60 years (with shared decision-making),75 years
103,103,"Since PCV21 contains eleven serotypes that are common causes of invasive pneumococcal disease in adults that are absent from PCV20, we now suggest PCV21 for most adults with indications for pneumococcal vaccination","Previously: PCV20 alone or PCV15 followed by PPSV23 were the preferred options. Now: PCV21 is preferred for most adults, except those at increased risk for serotype 4 infection.",What is the current first-line pneumococcal vaccine recommendation for most adults requiring vaccination?,PCV20 alone or PCV15 followed by PPSV23,PCV21
104,104,"The European Society of Cardiology (ESC) has issued updated guidelines for the diagnosis and treatment of hypertension. Compared with the 2018 guidelines, this update aligns more closely with the ACC/AHA definitions of hypertension, including recommending pharmacotherapy if systolic blood pressure (SBP) is ≥140 or diastolic blood pressure (DBP) is ≥90 mmHg by office measurement, or if SBP is ≥130 or DBP is ≥80 mmHg if the patient is at high cardiovascular risk.",Previously: ESC recommended initiating treatment at BP ≥140/90 mmHg for all patients. Now: Treatment is recommended at ≥140/90 mmHg for standard risk patients and ≥130/80 mmHg for high cardiovascular risk patients.,What is the current blood pressure threshold (in mmHg) for initiating antihypertensive therapy in a patient at high cardiovascular risk according to the 2024 ESC guidelines?,≥140/90 mmHg,≥130/80 mmHg
105,105,"In a position statement by the American Headache Society, CGRP antagonists are now considered among first-line therapies for migraine prevention, based on cumulative evidence of efficacy, safety, and tolerability from several clinical trials, meta-analyses, and postapproval open-label cohort studies.",Previously: CGRP antagonists were reserved for patients with inadequate response to initial therapy. Now: CGRP antagonists are considered first-line therapy options for migraine prevention.,What is the current recommended placement of CGRP antagonists in the treatment algorithm for migraine prevention?,Second-line or later therapy after inadequate response to initial treatments,First-line therapy option
106,106,"Based on these results, we individualize selection of andexanet alfa or PCC for direct factor Xa inhibitor reversal in acute ICH and other life-threatening bleeding; previously, we favored andexanet in most cases.",Previously: Andexanet alfa was favored over PCC for factor Xa inhibitor reversal in most cases of ICH. Now: Selection between andexanet alfa and PCC should be individualized based on patient factors.,What is the current recommended approach for selecting between andexanet alfa and PCC for factor Xa inhibitor reversal in acute ICH?,Favor andexanet alfa in most cases,Individualize selection based on patient factors
107,107,Updated guidance from the American College of Obstetricians and Gynecologists (ACOG) suggests that patients <12 0/7 weeks of gestation who are undergoing pregnancy termination (managed with uterine aspiration or medication) or experiencing pregnancy loss do not require RhD testing and prophylaxis if RhD negative,Previously: RhD testing and prophylaxis was recommended for all pregnancies regardless of gestational age. Now: RhD testing and prophylaxis is not required for pregnancy loss or termination before 12 0/7 weeks gestation.,At what gestational age is RhD testing and prophylaxis now recommended to begin for pregnancy loss or termination?,All gestational ages,≥12 0/7 weeks gestation
108,108,"In a systematic review including nearly 112,000 HPV-positive cervical cancers worldwide, 17 HPV subtypes were linked to cervical cancer, expanding the list of potentially oncogenic subtypes to include subtypes 26 and 73",Previously: The list of oncogenic HPV subtypes did not include types 26 and 73. Now: HPV types 26 and 73 are recognized as potentially oncogenic subtypes.,Which HPV subtypes have been newly recognized as potentially oncogenic in cervical cancer according to the 2024 systematic review?,Did not include types 26 and 73,Types 26 and 73 are now included
109,109,"In a randomized trial including 730 patients with inoperable stage I through III LS-SCLC who had not experienced progression after concurrent chemoradiation, two years of the immune checkpoint inhibitor durvalumab improved median overall survival compared with placebo (56 versus 33 months)",Previously: Patients with LS-SCLC received concurrent chemoradiation alone. Now: Two years of durvalumab is recommended after concurrent chemoradiation for patients who have not experienced disease progression.,What is the current recommended duration of durvalumab consolidation therapy for patients with limited-stage SCLC who have not progressed after concurrent chemoradiation?,No consolidation therapy was recommended,Two years of durvalumab
110,110,"In a randomized trial including 216 patients with unresectable stage III EGFR-mutant NSCLC without progression on chemoradiation, osimertinib improved progression-free survival relative to placebo (39 versus 5.6 months), with a nonsignificant trend toward improved 36-month survival (84 versus 74 percent)",Previously: Patients with unresectable stage III EGFR-mutant NSCLC received chemoradiation alone. Now: Osimertinib is recommended after chemoradiation for patients with EGFR exon 19 deletion or exon 21 L858R mutation who have not progressed.,What is the current recommended therapy for patients with unresectable stage III EGFR-mutant NSCLC (exon 19 deletion or L858R mutation) who have completed chemoradiation without disease progression?,Observation after completion of chemoradiation,Osimertinib therapy
111,111,"The American Society of Clinical Oncology has released a guideline on management of cancer-related fatigue, which includes recommendations to avoid wakefulness agents to manage symptoms of cancer-related fatigue in adults undergoing cancer treatment or in cancer survivors",Previously: Wakefulness agents were considered an option for managing cancer-related fatigue. Now: Wakefulness agents are not recommended for managing cancer-related fatigue in adults undergoing cancer treatment or cancer survivors.,What is the current recommendation regarding the use of wakefulness agents (such as methylphenidate) for cancer-related fatigue in adult cancer patients?,Wakefulness agents were considered as a treatment option,"Wakefulness agents should be avoided, except in select populations such as those with opioid-related fatigue"
112,112,"In a recent trial, 241 patients with severe hypoxemia (70 percent with COPD) were randomly assigned to either 15 or 24 hours per day of supplemental oxygen. After one year, there were no significant differences in COPD symptoms, hospitalization rates, quality of life, adverse events, or mortality between the two groups.",Previously: 24 hours of daily oxygen therapy was considered optimal for severe hypoxemia. Now: 15 hours per day of oxygen therapy is considered sufficient to achieve equivalent outcomes.,What is the minimum recommended daily duration of long-term oxygen therapy (in hours) for patients with severe hypoxemia to achieve mortality benefit?,24 hours per day,15 hours per day
113,113,The American Academy of Pediatrics (AAP) has recommended literacy promotion as an essential component of pediatric primary care for many years and recently updated its guidance. The AAP now recommends that clinicians encourage shared caregiver-child reading starting at birth instead of later in infancy.,Previously: AAP recommended starting literacy promotion later in infancy. Now: AAP recommends starting literacy promotion at birth.,At what age should pediatricians begin encouraging shared caregiver-child reading according to current AAP guidelines?,Later in infancy,At birth
114,114,"The Centers for Disease Control and Prevention advisory committee on immunization practices now recommends that the hexavalent DTaP-IPV-Hib-HepB vaccine, which includes PRP-OMP as the Hib component, be included with PRP-OMP as a preferred vaccine for this high-risk group",Previously: Only monovalent PRP-OMP Hib vaccine was preferred for American Indian/Alaska Native infants. Now: Both monovalent PRP-OMP Hib vaccine AND hexavalent DTaP-IPV-Hib-HepB vaccine are preferred options.,Which Hib-containing vaccines are currently preferred for American Indian/Alaska Native infants?,Monovalent PRP-OMP Hib vaccine only,Both monovalent PRP-OMP Hib vaccine and hexavalent DTaP-IPV-Hib-HepB vaccine
115,115,"Since PCV21 contains eleven serotypes that are common causes of invasive pneumococcal disease in adults that are absent from PCV20, we now suggest PCV21 for most adults with indications for pneumococcal vaccination.","Previously: PCV20 alone or PCV15 followed by PPSV23 were the preferred options for pneumococcal vaccination. Now: PCV21 is suggested for most adults, except those at increased risk for serotype 4 infection.",What is the currently recommended first-line pneumococcal vaccine for most adults requiring vaccination who are not at increased risk for serotype 4 infection?,PCV20 alone or PCV15 followed by PPSV23,PCV21
